Hostname,Domain,Label,Model,VLAN,Mgmt IP,Gateway,Length,Cable Length,Distribution
cc1,access.npf,CC1.D10.ACCESS.NPF,WS-C3560-8,11,10.255.210.10,10.255.210.1,33,10,d10
cc2,access.npf,CC2.D10.ACCESS.NPF,WS-C3560-8,11,10.255.210.11,10.255.210.1,33,10,d10
cc3,access.npf,CC3.D10.ACCESS.NPF,WS-C3560-8,11,10.255.210.12,10.255.210.1,33,10,d10
cc4,access.npf,CC4.D10.ACCESS.NPF,WS-C3560-8,11,10.255.210.13,10.255.210.1,33,10,d10
cc5,access.npf,CC5.D10.ACCESS.NPF,WS-C3560-8,11,10.255.210.14,10.255.210.1,33,10,d10
cc1,access.npf,CC1.D11.ACCESS.NPF,WS-C3560-8,11,10.255.211.10,10.255.211.1,33,10,d11
cc2,access.npf,CC2.D11.ACCESS.NPF,WS-C3560-8,11,10.255.211.11,10.255.211.1,33,10,d11
cc3,access.npf,CC3.D11.ACCESS.NPF,WS-C3560-8,11,10.255.211.12,10.255.211.1,33,10,d11
cc4,access.npf,CC4.D11.ACCESS.NPF,WS-C3560-8,11,10.255.211.13,10.255.211.1,33,10,d11
cc5,access.npf,CC5.D11.ACCESS.NPF,WS-C3560-8,11,10.255.211.14,10.255.211.1,33,10,d11
cc6,access.npf,CC6.D11.ACCESS.NPF,WS-C3560-8,11,10.255.211.15,10.255.211.1,33,10,d11
cc7,access.npf,CC7.D11.ACCESS.NPF,WS-C3560-8,11,10.255.211.16,10.255.211.1,33,10,d11
cc8,access.npf,CC8.D11.ACCESS.NPF,WS-C3560-8,11,10.255.211.17,10.255.211.1,33,10,d11
da1,access.npf,DA1.ACCESS.NPF,WS-C2950T-24,11,10.255.201.10,10.255.201.1,33,50,d1
da2,access.npf,DA2.ACCESS.NPF,WS-C2950T-24,11,10.255.201.11,10.255.201.1,33,30,d1
db1,access.npf,DB1.ACCESS.NPF,WS-C2950T-24,11,10.255.201.13,10.255.201.1,33,50,d1
db2,access.npf,DB2.ACCESS.NPF,WS-C2950T-24,11,10.255.201.14,10.255.201.1,33,30,d1
dc1,access.npf,DC1.ACCESS.NPF,WS-C2950T-24,12,10.255.201.16,10.255.201.1,33,30,d1
dc2,access.npf,DC2.ACCESS.NPF,WS-C2950T-24,12,10.255.201.17,10.255.201.1,33,20,d1
dd1,access.npf,DD1.ACCESS.NPF,WS-C2950T-24,12,10.255.201.19,10.255.201.1,33,30,d1
